t_sec,sabd_deg_abs,sabd_deg_zeroed,sabd_vel_deg_s,sabd_trq_Nm
0.009478,-5.282135662179576,-1.1588316405631707,-0.2674729326055211,-7.429558753967285
0.016463,-5.2837995687058825,-1.1604955470894769,-0.23821312076022313,-7.461002349853516
0.02466,-5.285389814613751,-1.1620857929973454,-0.19400741048157216,-7.35618782043457
0.031841,-5.286526560927469,-1.1632225393110636,-0.15829547179991485,-7.366669654846191
0.038698,-5.287322229453566,-1.1640182078371604,-0.11603879282621457,-7.461002349853516
0.046284,-5.2879978422545095,-1.164693820638104,-0.08906045236811347,-7.377150535583496
0.053129,-5.288467156903425,-1.1651631352870195,-0.06856315949862321,-7.32474422454834
0.062568,-5.288966308295508,-1.165662286679102,-0.052881856034781544,-7.35618782043457
0.069566,-5.289236676071307,-1.1659326544549016,-0.03863466351551178,-7.35618782043457
0.077337,-5.289477993037686,-1.16617397142128,-0.03105346742801877,-7.377150535583496
0.084125,-5.289683923220298,-1.166379901603892,-0.030337318276508828,-7.429558753967285
0.091352,-5.28989648753008,-1.1665924659136744,-0.02941275187309632,-7.47148323059082
0.097976,-5.2900262116811705,-1.1667221900647649,-0.019584009135635738,-7.419076442718506
0.104797,-5.2901039017010945,-1.1667998800846888,-0.011389966840056947,-7.534372329711914
0.112449,-5.290174166782951,-1.1668701451665457,-0.009182524190460305,-7.565816402435303
0.11894,-5.290254693685665,-1.1669506720692597,-0.012406035267617091,-7.565816402435303
0.126688,-5.290367850740422,-1.1670638291240163,-0.014604439885336676,-7.607741832733154
0.133369,-5.290512039713798,-1.1672080180973925,-0.021581286364332857,-7.597260475158691
0.141943,-5.290774391021328,-1.1674703694049224,-0.03059929197124822,-7.607741832733154
0.149303,-5.290991619334687,-1.167687597718281,-0.029514790529093775,-7.597260475158691
0.155975,-5.291027553779732,-1.1677235321633264,-0.005385934340747861,-7.481965065002441
0.16375,-5.2910612099339955,-1.16775718831759,-0.00432859507089968,-7.481965065002441
0.170744,-5.2912838947373135,-1.167979873120908,-0.03183936462573325,-7.628705024719238
0.178119,-5.291474534209592,-1.1681705125931865,-0.025850248969869743,-7.628705024719238
0.184625,-5.29158309845837,-1.168279076841964,-0.016686264168872582,-7.618223667144775
0.192148,-5.291684630521229,-1.1683806089048234,-0.01349654034100289,-7.639185905456543
0.199157,-5.291894350185612,-1.1685903285692065,-0.02992135611948768,-7.7649641036987305
0.207945,-5.292219270308517,-1.1689152486921115,-0.03697370441902408,-7.712555885314941
0.215273,-5.292508053397689,-1.169204031781283,-0.03940799277865331,-7.733519077301025
0.221994,-5.292758667222812,-1.1694546456064066,-0.03728806559669079,-7.775444984436035
0.229377,-5.293051096041028,-1.1697470744246221,-0.03960782000054267,-7.7649641036987305
0.235771,-5.293231356273563,-1.1699273346571575,-0.028191439440844998,-7.723037242889404
0.243275,-5.293367606809479,-1.1700635851930734,-0.018157664277136498,-7.754481315612793
0.250111,-5.293534545012805,-1.1702305233963992,-0.024419822619266954,-7.723037242889404
0.258123,-5.293727676055596,-1.1704236544391904,-0.024105770304225276,-7.628705024719238
0.265184,-5.293800486842669,-1.1704964652262637,-0.010311675292572086,-7.607741832733154
0.272404,-5.293861172489236,-1.1705571508728303,-0.008405179478149609,-7.597260475158691
